method,time,t,x,cost,cost_reduction,cost_reduction_per_second,cost_reduction_per_step,preconditioning,constrained
trust-krylov_2-point,0.3167884349822998,122.05311468833283,79.56394405843253,4.198530996670261,697.5890633464686,2202.0660678015142,697.5890633464686,True,False
trust-krylov_3-point,0.5096557140350342,122.05311499494094,79.56394273514384,4.1985302719917215,697.5890640711472,1368.745694124003,697.5890640711472,True,False
adj,0.09856700897216797,118.78643070691845,77.21514930979356,7.81956197738977,693.9680323657491,7040.571075477216,6.939680323657491,False,True
lstsq,0.9523603916168213,118.78643070691845,77.21514930979356,479.7334893622419,222.0541049808969,233.1618439149027,222.0541049808969,False,True
solve,0.2283616065979004,118.78643070691845,77.21514930979356,479.7334893622979,222.05410498084092,972.3793254434152,222.05410498084092,False,True
lsqr,0.7422733306884766,118.78643070691845,77.21514930979356,9.931750916459627,691.8558434266793,932.0769247966462,138.37116868533585,False,True
lsmr,0.674889087677002,118.78643070691845,77.21514930979356,3.464944088945977,698.3226502541928,1034.7220943486436,139.66453005083855,False,True
trust-constr,0.09700250625610352,118.78643070691845,77.21514930979356,24.087619850263998,677.6999744928748,6986.417162290929,677.6999744928748,False,True
trust-ncg,0.062001705169677734,118.78643070691845,77.21514930979356,3.785280284512075,698.0023140586268,11257.79221955961,698.0023140586268,False,True
trust-krylov,0.08000564575195312,118.78643070691845,77.21514930979356,3.785280284512075,698.0023140586268,8724.41322732011,698.0023140586268,False,True
dogleg,35.1618013381958,118.78643070691845,77.21514930979356,2.97604556785174,698.8115487752871,19.874168051116804,698.8115487752871,False,True
trust-exact,10.140162944793701,118.78643070691845,77.21514930979356,4.013322041593022,697.7742723015458,68.81292500923828,697.7742723015458,False,True
cg_min,0.9089438915252686,118.78643070691845,77.21514930979356,0.041072534295888516,701.746521808843,772.0460287502075,701.746521808843,False,True
l-bfgs-b,0.5635981559753418,118.78643070691845,77.21514930979356,0.011266173064508282,701.7763281700743,1245.171441264932,701.7763281700743,False,True
tnc,0.20022845268249512,118.78643070691845,77.21514930979356,2.4241844689206422e-06,701.7875919189544,3504.93440126508,701.7875919189544,False,True
bfgs,0.25567078590393066,118.78643070691845,77.21514930979356,95.31734108820302,606.4702532549359,2372.074897453554,606.4702532549359,False,True
newton-cg,0.04899787902832031,118.78643070691845,77.21514930979356,10.370421296181764,691.417173046957,14111.165355694773,691.417173046957,False,True
bicg,0.13118624687194824,118.78643070691845,77.21514930979356,532.6707739602801,169.1168203828587,1289.1352898290834,169.1168203828587,False,True
bicgstab,0.13136720657348633,118.78643070691845,77.21514930979356,595.8607701223019,105.92682422083692,806.3414529681869,105.92682422083692,False,True
gmres,1.5052490234375,118.78643070691845,77.21514930979356,127.66588908732571,574.1217052558131,381.4131059488785,574.1217052558131,False,True
lgmres,2.4390714168548584,118.78643070691845,77.21514930979356,124.36761340366479,577.419980939474,236.7376276681752,577.419980939474,False,True
qmr,0.13266992568969727,118.78643070691845,77.21514930979356,317.1568208873395,384.63077345579933,2899.155716386058,384.63077345579933,False,True
minres,0.07400751113891602,118.78643070691845,77.21514930979356,416.10990320520034,285.6776911379385,3860.1175305261427,285.6776911379385,False,True
gcrotmk,1.775857925415039,118.78643070691845,77.21514930979356,113.97962590049934,587.8079684426395,330.99943414970085,587.8079684426395,False,True
lm,112.55373787879944,118.78643070691845,77.21514930979356,1.806367022463126e-05,701.7875762794686,6.235133452743882,701.7875762794686,False,True
hybr,8.721721649169922,118.78643070691845,77.21514930979356,3.134832571599766,698.6527617715391,80.10491390057517,698.6527617715391,False,True
krylov,0.2369389533996582,118.78643070691845,77.21514930979356,91.0796220606326,610.7079722825063,2577.4907988742184,610.7079722825063,False,True
cg,1.9382264614105225,118.78643070691845,77.21514930979356,488.37227821592654,213.4153161272123,110.10855561836757,213.4153161272123,False,True
cgs,1.5802292823791504,118.78643070691845,77.21514930979356,389.76788248076787,312.01971186237097,197.45217693511069,312.01971186237097,False,True
trust-constr_cs,0.07680439949035645,118.78643070691845,77.21514930979356,22.234778568681286,679.5528157744576,8847.837106776444,679.5528157744576,False,True
trust-constr_2-point,0.15591979026794434,118.78643070691845,77.21514930979356,32.67414089564997,669.1134534474888,4291.395289190896,669.1134534474888,False,True
trust-constr_3-point,0.2647559642791748,118.78643070691845,77.21514930979356,32.6741671295522,669.1134272135866,2527.283678142309,669.1134272135866,False,True
trust-ncg_cs,0.19300127029418945,118.78643070691845,77.21514930979356,4.965309297403248,696.8222850457356,3610.4543974429703,696.8222850457356,False,True
trust-ncg_2-point,0.2550020217895508,118.78643070691845,77.21514930979356,5.158700579873336,696.6288937632655,2731.8563549985597,696.6288937632655,False,True
trust-ncg_3-point,0.352247953414917,118.78643070691845,77.21514930979356,5.158700447524193,696.6288938956146,1977.6662636135952,696.6288938956146,False,True
trust-krylov_cs,0.27069878578186035,118.78643070691845,77.21514930979356,4.965309297403243,696.8222850457356,2574.1611032096102,696.8222850457356,False,True
trust-krylov_2-point,0.38069677352905273,118.78643070691845,77.21514930979356,5.432745266752766,696.354849076386,1829.1587885581173,696.354849076386,False,True
trust-krylov_3-point,0.5372161865234375,118.78643070691845,77.21514930979356,5.432745118628893,696.35484922451,1296.2283466008887,696.35484922451,False,True
adj,0.10921263694763184,118.78643070691845,77.21514930979356,129.46343540988127,572.3241589332575,5240.457285247042,5.723241589332575,True,True
lstsq,0.939697265625,118.78643070691845,77.21514930979356,479.7334893623307,222.05410498080812,236.30387477302938,222.05410498080812,True,True
solve,0.212998628616333,118.78643070691845,77.21514930979356,479.7334893622519,222.05410498088696,1042.514247267128,222.05410498088696,True,True
lsqr,0.6777791976928711,118.78643070691845,77.21514930979356,9.931750916459627,691.8558434266793,1020.7687780647805,138.37116868533585,True,True
lsmr,0.6603953838348389,118.78643070691845,77.21514930979356,3.464944088945977,698.3226502541928,1057.4311501075533,139.66453005083855,True,True
trust-constr,0.0970001220703125,118.78643070691845,77.21514930979356,24.087619850263998,677.6999744928748,6986.58888286378,677.6999744928748,True,True
trust-ncg,0.06212019920349121,118.78643070691845,77.21514930979356,3.785280284512075,698.0023140586268,11236.31802551268,698.0023140586268,True,True
trust-krylov,0.0802001953125,118.78643070691845,77.21514930979356,3.785280284512075,698.0023140586268,8703.249553680776,698.0023140586268,True,True
dogleg,35.385632038116455,118.78643070691845,77.21514930979356,2.97604556785174,698.8115487752871,19.748454627645085,698.8115487752871,True,True
trust-exact,10.730355739593506,118.78643070691845,77.21514930979356,4.013322041593022,697.7742723015458,65.02806516720193,697.7742723015458,True,True
cg_min,1.0093562602996826,118.78643070691845,77.21514930979356,0.041072534295888516,701.746521808843,695.2416598679351,701.746521808843,True,True
l-bfgs-b,0.586958646774292,118.78643070691845,77.21514930979356,0.011266173064508282,701.7763281700743,1195.614600835643,701.7763281700743,True,True
tnc,0.20404267311096191,118.78643070691845,77.21514930979356,2.4241844689206422e-06,701.7875919189544,3439.4157909179626,701.7875919189544,True,True
bfgs,0.2801337242126465,118.78643070691845,77.21514930979356,95.31734108820302,606.4702532549359,2164.9312483154326,606.4702532549359,True,True
newton-cg,0.0500032901763916,118.78643070691845,77.21514930979356,10.370421296181764,691.417173046957,13827.433567029568,691.417173046957,True,True
bicg,0.146867036819458,118.78643070691845,77.21514930979356,668.5492142755365,33.23838006760229,226.31613456232427,33.23838006760229,True,True
bicgstab,0.16001152992248535,118.78643070691845,77.21514930979356,687.8646445134173,13.922949829721574,87.01216616369015,13.922949829721574,True,True
gmres,1.3549880981445312,118.78643070691845,77.21514930979356,371.2527470322949,330.53484731084393,243.93929936614623,330.53484731084393,True,True
lgmres,2.2707479000091553,118.78643070691845,77.21514930979356,357.82017341769983,343.967420925439,151.47759067576467,343.967420925439,True,True
qmr,0.13399958610534668,118.78643070691845,77.21514930979356,674.0285527090579,27.759041634080972,207.15766698158006,27.759041634080972,True,True
minres,0.07399940490722656,118.78643070691845,77.21514930979356,496.853423378537,204.93417096460183,2769.402959679593,204.93417096460183,True,True
gcrotmk,1.6323091983795166,118.78643070691845,77.21514930979356,263.2347089458441,438.55288539729474,268.67022855269727,438.55288539729474,True,True
lm,109.97713351249695,118.78643070691845,77.21514930979356,1.806367022463126e-05,701.7875762794686,6.381213565633831,701.7875762794686,True,True
hybr,8.729997634887695,118.78643070691845,77.21514930979356,3.134832571599766,698.6527617715391,80.02897491970818,698.6527617715391,True,True
krylov,0.22481608390808105,118.78643070691845,77.21514930979356,91.0796220606326,610.7079722825063,2716.478116984735,610.7079722825063,True,True
cg,5.151525020599365,118.78643070691845,77.21514930979356,486.1383678766529,215.6492264664859,41.86124023549744,215.6492264664859,True,True
cgs,16.600642442703247,118.78643070691845,77.21514930979356,479.3625922071558,222.42500213598305,13.398577970923599,222.42500213598305,True,True
trust-constr_cs,0.07199907302856445,118.78643070691845,77.21514930979356,22.234778568681286,679.5528157744576,9438.355067500052,679.5528157744576,True,True
trust-constr_2-point,0.14967679977416992,118.78643070691845,77.21514930979356,32.67414089564997,669.1134534474888,4470.388560264764,669.1134534474888,True,True
trust-constr_3-point,0.25437021255493164,118.78643070691845,77.21514930979356,32.6741671295522,669.1134272135866,2630.4708420569905,669.1134272135866,True,True
trust-ncg_cs,0.18900060653686523,118.78643070691845,77.21514930979356,4.965309297403248,696.8222850457356,3686.8785651744347,696.8222850457356,True,True
trust-ncg_2-point,0.252000093460083,118.78643070691845,77.21514930979356,5.158700579873336,696.6288937632655,2764.399346834417,696.6288937632655,True,True
trust-ncg_3-point,0.3410007953643799,118.78643070691845,77.21514930979356,5.158700447524193,696.6288938956146,2042.8952171540384,696.6288938956146,True,True
trust-krylov_cs,0.26062488555908203,118.78643070691845,77.21514930979356,4.965309297403243,696.8222850457356,2673.6598216664556,696.8222850457356,True,True
trust-krylov_2-point,0.36562442779541016,118.78643070691845,77.21514930979356,5.432745266752766,696.354849076386,1904.563251627269,696.354849076386,True,True
trust-krylov_3-point,0.5186245441436768,118.78643070691845,77.21514930979356,5.432745118628893,696.35484922451,1342.695514679683,696.35484922451,True,True
