,symbol_string,parameters,field_shape,cost,status,tileset,comoving,tile_shape
697,0111_2201,"(40.15245692517206, 51.7552342617155, 0)","(32, 32)",0.014582380682767059,0,extra_space_padded,False,"(2, 4)"
698,0111_2202,"(35.30412075415451, 52.04843053627749, 0)","(32, 32)",0.1637538343495867,0,extra_space_padded,False,"(2, 4)"
699,0111_2210,"(35.08424733293574, 50.076456319128084, 0)","(32, 32)",0.10222790280633652,0,extra_space_padded,False,"(2, 4)"
700,0111_2211,"(32.23346811284186, 53.4038959313087, 0)","(32, 32)",3.953962957000677e-08,-1,extra_space_padded,False,"(2, 4)"
701,0111_2212,"(45.1093070698666, 55.20565825371412, 0)","(32, 32)",0.14000711524817472,0,extra_space_padded,False,"(2, 4)"
702,0111_2220,"(39.333528198150006, 51.623936820884595, 0)","(32, 32)",0.09995578085181427,0,extra_space_padded,False,"(2, 4)"
703,0111_2221,"(30.144662006186483, 54.732846857080425, 0)","(32, 32)",0.27724157468693555,0,extra_space_padded,False,"(2, 4)"
704,0111_2222,"(46.1361372047186, 54.647079412977504, 0)","(32, 32)",0.12265016898378567,0,extra_space_padded,False,"(2, 4)"
705,0112_0121,"(40.92424287380953, 51.43980512628145, 0)","(32, 32)",0.025036028254650816,0,extra_space_padded,False,"(2, 4)"
706,0112_0122,"(53.532953378998535, 52.32335027919304, 0)","(32, 32)",0.021749757445312025,0,extra_space_padded,False,"(2, 4)"
707,0112_0202,"(44.916890761150704, 50.112861754818326, 0)","(32, 32)",0.04327225269972934,0,extra_space_padded,False,"(2, 4)"
708,0112_0211,"(42.07844883576712, 51.45855471485424, 0)","(32, 32)",0.0417312117240074,0,extra_space_padded,False,"(2, 4)"
709,0112_0212,"(47.14679492916197, 51.46679152483536, 0)","(32, 32)",0.030294108178282424,0,extra_space_padded,False,"(2, 4)"
710,0112_0221,"(32.67820464425871, 52.01118093098136, 0)","(32, 32)",0.0631573612256434,0,extra_space_padded,False,"(2, 4)"
711,0112_0222,"(35.91095812164904, 54.64057634052232, 0)","(32, 32)",0.1945875802662231,0,extra_space_padded,False,"(2, 4)"
712,0112_1012,"(51.65440555681707, 50.48314198180287, 0)","(32, 32)",0.13907282618284406,0,extra_space_padded,False,"(2, 4)"
713,0112_1021,"(40.88981272904759, 51.37002123025674, 0)","(32, 32)",0.1343086355498957,0,extra_space_padded,False,"(2, 4)"
714,0112_1022,"(43.856419137523844, 52.17494036722349, 0)","(32, 32)",1.6304171726224218e-08,-1,extra_space_padded,False,"(2, 4)"
715,0112_1102,"(36.014126134579854, 50.22316001933197, 0)","(32, 32)",0.04998602135383473,0,extra_space_padded,False,"(2, 4)"
716,0112_1111,"(28.854651272484983, 51.185176137081136, 0)","(32, 32)",1.1721053023126954e-07,-1,extra_space_padded,False,"(2, 4)"
717,0112_1112,"(32.96216188995285, 52.85547228878106, 0)","(32, 32)",0.13092867739877603,0,extra_space_padded,False,"(2, 4)"
718,0112_1120,"(51.66957973968244, 51.41696196879766, 0)","(32, 32)",0.1024780797348711,0,extra_space_padded,False,"(2, 4)"
719,0112_1121,"(31.704211570773985, 53.45552714132142, 0)","(32, 32)",0.09014934020663394,0,extra_space_padded,False,"(2, 4)"
720,0112_1122,"(34.18081810831406, 55.8945317110653, 0)","(32, 32)",0.22957712142545433,0,extra_space_padded,False,"(2, 4)"
721,0112_1202,"(38.81389421511855, 52.221955110630795, 0)","(32, 32)",0.05703956015851349,0,extra_space_padded,False,"(2, 4)"
722,0112_1210,"(38.01768538444547, 50.596486104789335, 0)","(32, 32)",0.14371069326427519,0,extra_space_padded,False,"(2, 4)"
723,0112_1211,"(42.96740128278197, 52.51558054781782, 0)","(32, 32)",0.048860210973446755,0,extra_space_padded,False,"(2, 4)"
724,0112_1212,"(38.05108425811835, 55.623858129606944, 0)","(32, 32)",0.14704166077034683,0,extra_space_padded,False,"(2, 4)"
725,0112_1220,"(41.89520001056432, 51.92040214507275, 0)","(32, 32)",0.16982984242890478,0,extra_space_padded,False,"(2, 4)"
726,0112_1221,"(34.123707256072436, 55.422984743927394, 0)","(32, 32)",0.22332936630848385,0,extra_space_padded,False,"(2, 4)"
727,0112_1222,"(38.10677231797591, 57.6325395858641, 0)","(32, 32)",0.2191176927408539,0,extra_space_padded,False,"(2, 4)"
